X,Y
-0.812377079,146.013887
-6.935875516,-2050.854715
3.486073171,561.9361142
0.563652096,54.22054203
5.511145475,2207.389506
-3.661714207,-167.9921726
0.814774561,1321.647594
-1.867811554,595.5877285
-2.23860183,295.797271
5.313622077,3203.24463
-7.490350342,-2548.309366
-3.87502684,377.2841696
-7.812672338,-2878.227299
1.504085185,335.9019167
1.448817373,824.7716223
-9.663232928,-8650.619607
-2.34185847,1284.513415
2.246828983,889.13779
9.037468536,9672.819784
-4.336340361,659.9442295
-1.533264238,916.7010599
-3.828528579,141.6207508
7.791615141,7016.053992
-7.843678471,-3450.984216
-9.271338452,-8154.750228
-1.299019334,1361.216514
6.854165192,4158.17035
4.347373712,2210.844534
-6.766787949,-1631.337797
1.355870435,1580.866738
-3.629536687,330.1457137
-3.370325888,1331.124382
4.712532849,1534.443749
-0.985198451,280.1281969
8.185987408,7746.188
5.049759243,3307.58695
8.588628818,7800.703668
-3.588911968,723.1318765
9.126242927,9867.094475
7.95763786,7215.220774
5.270648401,3135.393061
-1.426776347,251.1338281
7.116332857,4186.973393
-4.35051379,-320.4543979
-6.36540615,-1330.198121
8.215351847,6540.874559
5.603303811,3275.477893
-6.830976477,-3211.938802
0.701105851,526.2188144
2.087556613,867.0008033
-8.707084178,-5437.649019
5.632073673,3419.517406
-8.913774912,-6612.573174
1.142082804,401.9692621
8.960776898,8660.78925
1.610769971,383.2681347
9.566124375,10266.22814
-6.040081689,-1224.964089
-0.188542436,1559.564852
-0.255233189,320.6478518
-5.057803347,-1092.915191
8.121026085,6260.781729
-1.615013712,1481.591283
-5.185336877,361.1035023
0.817575282,1108.300826
8.328702333,7327.985135
-1.60107859,122.2052443
-8.459549999,-5379.626987
-5.419533007,-811.07606
5.533749943,2876.814572
2.001250989,1517.849206
8.49769063,7084.839139
4.937790119,2884.254158
-5.296835689,-1191.958571
9.753386006,11881.80471
-8.819011953,-6514.85877
6.506282751,4884.087947
2.074956802,1330.272467
-1.420798727,43.66599803
-3.123980273,872.3683127
-3.994432613,531.7209927
1.198906727,1040.366344
8.000009999,7231.537418
6.610770551,4052.179829
8.879609858,8428.516618
5.818279229,3277.293544
9.037352575,9318.342324
-7.632558487,-3382.995209
1.903987608,368.8948046
-3.677910752,504.0238146
6.357836871,4287.303038
-6.384594924,-1530.033324
0.623106451,879.8396744
-2.925157775,405.7477718
-1.166927022,414.6165449
-5.758898496,-468.2410118
-0.927994561,368.8840525
-5.536775067,-978.0795501
-2.210791402,1390.267279
5.051275071,2853.676231
